name_canon,name_raw,births
ABHINAV,ABHINAV,5
ABHINAV SAI,ABHINAV SAI,1
ABHINAY,ABHINAY,2
ABHIR,ABHIR,2
ABHIRA,ABHIRA,1
ABHIRAAM,ABHIRAAM,1
ABHIRAM,ABHIRAM,14
ABHIRAMI,ABHIRAMI,2
ABHIRAV,ABHIRAV,1
ABHISAAC,ABHISAAC,1
ABHYANT,ABHYANT,2
ABI,ABI,1
ABIA,ABIA,1
ABID,ABID,1
ABIEL,ABIEL,2
ABIGAEL,ABIGAEL,2
ABIGAIL,ABIGAIL,328
ABIGAIL HEAVEN,ABIGAIL HEAVEN,1
ABIGAIL MARI,ABIGAIL MARI,1
ABIGAIL MEKDELA,ABIGAIL MEKDELA,1
ABIGAIL ROSE,ABIGAIL ROSE,1
ABIGAIL-MALIKA,ABIGAIL-MALIKA,1
ABIGALE,ABIGALE,2
ABIGAYL,ABIGAYL,1
ABIGAYLE,ABIGAYLE,2
ABIJAH,ABIJAH II,1
ABILENE,ABILENE,4
ABIMAEL,ABIMAEL,1
ABIMBOLA,ABIMBOLA,1
ABINAB,ABINAB,1
ABIR,ABIR,5
ABIRAL,ABIRAL,1
ABISAI,ABISAI,4
ABISHAI,ABISHAI,1
ABISOLA,ABISOLA,1
ABIYAAN,ABIYAAN,1
ABIYAH,ABIYAH,1
ABLAKAT,ABLAKAT,2
ABLE,ABLE,2
ABNER,ABNER,11
ABOLAJI,ABOLAJI,1
ABOLFAZL,ABOLFAZL,1
ABOUBAKR,ABOUBAKR,1
ABRA,ABRA,2
ABRAHAM,ABRAHAM,108
ABRAHEM,ABRAHEM,1
ABRAHM,ABRAHM,1
ABRAM,ABRAM,8
ABRAR,ABRAR,1
ABREE,ABREE,1
ABREY,ABREY,1
ABRIAM,ABRIAM,1
ABRIANA,ABRIANA,1
ABRIANE,ABRIANE,1
ABRIANNA,ABRIANNA,2
ABRIEL,ABRIEL,2
ABRIELLA,ABRIELLA,3
ABRIELLE,ABRIELLE,6
ABRIL,ABRIL,26
ABRIZ,ABRIZ,1
ABRYELLE,ABRYELLE,1
ABU BAKR,ABU BAKR,1
ABU-BAKR,ABU-BAKR,1
ABUBAKAR,ABUBAKAR,1
ABUBAKR,ABUBAKR,1
ABUNDANCE,ABUNDANCE,2
ABUNDANTLY,ABUNDANTLY,1
ABY,ABY,4
ABYAN,ABYAN,1
ABYGAIL,ABYGAIL,2
ABYNA,ABYNA,1
ACACIA,ACACIA,1
ACADIA,ACADIA,2
ACASIA,ACASIA,1
ACE,ACE,92
ACE HIRO,ACE HIRO,1
ACE'CIEON,ACE'CIEON,1
ACE'ZEON,ACE'ZEON,1
ACEE,ACEE,1
ACELY,ACELY,1
ACELYN,ACELYN,1
ACELYNN,ACELYNN,1
ACEN,ACEN,1
ACER,ACER,2
ACESON,ACESON,1
ACEYN,ACEYN,1
ACHAL,ACHAL,1
ACHER,ACHER,1
ACHILLES,ACHILLES,6
ACHILLIES,ACHILLIES,1
ACHOL,ACHOL,1
ACHYUT,ACHYUT,1
ACHYUTHAN,ACHYUTHAN,1
ACIS,ACIS,1
ACSA,ACSA,4
ACTION,ACTION,1
ACURA,ACURA,1
ACXEL,ACXEL,1
ACZA,ACZA,1
ADA,ADA,88
ADA MARCELINA,ADA MARCELINA,1
ADA ROSE,ADA ROSE,1
ADA-MARIE,ADA-MARIE,1
ADABELLE,ADABELLE,1
ADACHI,ADACHI,1
ADAEL,ADAEL,3
ADAEZE,ADAEZE,2
ADAEZE ELIZABETH,ADAEZE ELIZABETH,1
ADAGIO,ADAGIO,1
ADAH,ADAH,3
ADAIA,ADAIA,4
ADAIAH,ADAIAH,1
ADAIR,ADAIR,1
ADAIRA,ADAIRA,1
ADALAYAH,ADALAYAH,1
ADALBERTO,ADALBERTO,1
ADALEA,ADALEA,1
ADALEAH,ADALEAH,1
ADALEE,ADALEE,8
ADALEEN,ADALEEN,1
ADALEENA,ADALEENA,1
ADALEIAH,ADALEIAH,1
ADALEIGH,ADALEIGH,6
ADALET,ADALET,1
ADALETH,ADALETH,1
ADALEY,ADALEY,1
ADALEYA,ADALEYA,1
ADALEYZA,ADALEYZA,1
ADALI,ADALI,3
ADALIA,ADALIA,5
ADALIAH,ADALIAH,1
ADALICIA,ADALICIA,1
ADALID,ADALID,1
ADALIDA,ADALIDA,1
ADALIE,ADALIE,8
ADALIN,ADALIN,2
ADALINA,ADALINA,9
ADALIND,ADALIND,4
ADALINE,ADALINE,37
ADALINN,ADALINN,1
ADALLYN,ADALLYN,1
ADALMIRO,ADALMIRO,1
ADALY,ADALY,7
ADALYN,ADALYN,66
ADALYNAH,ADALYNAH,1
ADALYNE,ADALYNE,1
ADALYNN,ADALYNN,82
ADALYNN JANE,ADALYNN JANE,1
ADALYNNE,ADALYNNE,1
ADAM,ADAM,164
ADAM,ADAM  II,1
ADAM AMINE,ADAM AMINE,1
ADAMA,ADAMA,1
ADAMARI,ADAMARI,4
ADAMARIS,ADAMARIS,5
ADAMARY,ADAMARY,3
ADAMAURI,ADAMAURI,1
ADAMS,ADAMS,1
ADAN,ADAN,47
ADAN,ADÁN,6
ADANELI,ADANELI,1
ADANELY,ADANELY,2
ADANNA,ADANNA,4
ADAORA,ADAORA,1
ADARA,ADARA,10
ADARA,ADARÁ,1
ADARIANA,ADARIANA,1
ADAROSE,ADAROSE,1
ADARREN,ADARREN,1
ADASHA,ADASHA,1
ADAYA,ADAYA,2
ADAYANI,ADAYANI,1
ADDALYN,ADDALYN,6
ADDALYNN,ADDALYNN,3
ADDELAIDE,ADDELAIDE,1
ADDELYN,ADDELYN,5
ADDELYNN,ADDELYNN,1
ADDEY,ADDEY,1
ADDIE,ADDIE,5
ADDIELYN,ADDIELYN,1
ADDILEN,ADDILEN,1
ADDILYN,ADDILYN,16
ADDILYNA,ADDILYNA,1
ADDILYNN,ADDILYNN,8
ADDIS,ADDIS,1
ADDISON,ADDISON,179
ADDISONLOU,ADDISONLOU,1
ADDISYN,ADDISYN,4
ADDLEY,ADDLEY,2
ADDY,ADDY,2
ADDYSON,ADDYSON,9
ADEBARE,ADEBARE,1
ADEBUSAYO,ADEBUSAYO,1
ADECYN,ADECYN,1
ADEDEJI,ADEDEJI,1
ADEEL,ADEEL,2
ADEEM,ADEEM,1
ADEEN,ADEEN,1
ADEENA,ADEENA,1
ADEERA,ADEERA,1
ADEL,ADEL,2
ADELA,ADELA,21
ADELADE,ADELADE,1
ADELAI,ADELAI,2
ADELAIA,ADELAIA,1
ADELAIDA,ADELAIDA,4
ADELAIDE,ADELAIDE,59
ADELAILAH,ADELAILAH,2
ADELAINE,ADELAINE,1
ADELANI,ADELANI,1
ADELANY,ADELANY,1
ADELAYDA,ADELAYDA,3
ADELAYDE,ADELAYDE,1
ADELAYNE,ADELAYNE,1
ADELAYZA,ADELAYZA,2
ADELE,ADELE,10
ADELEAH,ADELEAH,1
ADELEE,ADELEE,1
ADELEIA,ADELEIA,1
ADELEIGH,ADELEIGH,1
ADELEINE,ADELEINE,2
ADELENA,ADELENA,1
ADELENE,ADELENE,1
ADELEYNA,ADELEYNA,1
ADELEYZA,ADELEYZA,1
ADELHEID,ADELHEID,1
ADELIA,ADELIA,3
ADELIE,ADELIE,2
ADELIN,ADELIN,4
ADELINA,ADELINA,41
ADELIND,ADELIND,1
ADELINE,ADELINE,146
ADELINE COSETTE,ADELINE COSETTE,1
ADELINNE,ADELINNE,1
ADELISA,ADELISA,1
ADELISE,ADELISE,1
ADELITA,ADELITA,3
ADELLA,ADELLA,2
ADELLE,ADELLE,2
ADELLY,ADELLY,1
ADELSO,ADELSO,1
ADELY,ADELY,2
ADELYA,ADELYA,1
ADELYN,ADELYN,69
ADELYNA,ADELYNA,1
ADELYNE,ADELYNE,6
ADELYNN,ADELYNN,29
ADELYNNE,ADELYNNE,2
ADEMARA,ADEMARA,1
ADEMIDE,ADEMIDE,1
ADEMIR,ADEMIR,1
ADEN,ADEN,15
ADENG,ADENG,1
ADENIYI,ADENIYI,1
ADERYAN,ADERYAN,1
ADESZA,ADESZA,1
ADETORE,ADETORE,1
ADEYA,ADEYA,1
ADEZA,ADÉZA,1
ADHAM,ADHAM,1
