year,sex,name,au_rank,tx_rank,rank_delta,au_n
2018,FEMALE,Olivia,1,3,2,95
2018,MALE,Caleb,47,49,2,38
2019,MALE,Ezra,37,39,2,42
2019,MALE,Ryan,66,68,2,30
2020,MALE,Oliver,4,6,2,87
2020,MALE,Ethan,13,15,2,61
2020,MALE,Gabriel,35,37,2,42
2020,MALE,Wyatt,49,51,2,34
2021,MALE,Gabriel,26,28,2,47
2022,FEMALE,Isabella,2,4,2,86
2022,FEMALE,Elizabeth,13,15,2,55
2022,FEMALE,Elena,21,23,2,40
2022,FEMALE,Aurora,26,28,2,38
2023,FEMALE,Violet,23,25,2,36
2023,MALE,John,25,27,2,51
2024,MALE,Alexander,22,24,2,55
2017,FEMALE,Isabella,2,3,1,88
2017,FEMALE,Abigail,8,9,1,59
2017,FEMALE,Emily,10,11,1,58
2017,FEMALE,Chloe,30,31,1,35
2017,FEMALE,Hannah,35,36,1,30
2017,MALE,Ryan,58,59,1,35
2018,FEMALE,Camila,5,6,1,65
2018,FEMALE,Avery,15,16,1,46
2018,FEMALE,Zoey,35,36,1,30
2018,MALE,Christian,33,34,1,43
2019,FEMALE,Olivia,1,2,1,90
2019,FEMALE,Isabella,2,3,1,81
2019,FEMALE,Mia,3,4,1,76
2019,FEMALE,Sophia,5,6,1,74
2019,FEMALE,Luna,14,15,1,48
2019,FEMALE,Scarlett,20,21,1,42
2019,MALE,Alexander,10,11,1,68
2019,MALE,Luke,19,20,1,55
2019,MALE,Elias,47,48,1,38
2019,MALE,Jesus,59,60,1,32
2020,FEMALE,Emma,1,2,1,94
2020,FEMALE,Mia,4,5,1,86
2020,FEMALE,Sofia,8,9,1,61
2020,FEMALE,Harper,17,18,1,41
2020,MALE,Mateo,2,3,1,92
2020,MALE,Jacob,16,17,1,55
2020,MALE,Luke,22,23,1,48
2020,MALE,Anthony,31,32,1,43
2020,MALE,Gael,39,40,1,38
2021,MALE,Alexander,13,14,1,61
2021,MALE,Michael,31,32,1,46
2021,MALE,Wyatt,43,44,1,40
2022,FEMALE,Emily,13,14,1,55
2022,FEMALE,Hazel,34,35,1,34
2022,MALE,Oliver,6,7,1,74
2022,MALE,Damian,51,52,1,34
2023,FEMALE,Isabella,4,5,1,80
2023,FEMALE,Mila,30,31,1,34
2023,MALE,Dylan,13,14,1,59
2024,FEMALE,Emma,1,2,1,86
2024,FEMALE,Isabella,4,5,1,73
2024,FEMALE,Sophia,5,6,1,71
2024,FEMALE,Zoe,17,18,1,45
2024,FEMALE,Chloe,35,36,1,35
2024,FEMALE,Ailany,40,41,1,34
2024,MALE,David,21,22,1,56
2024,MALE,Jacob,42,43,1,41
2017,FEMALE,Emma,1,1,0,98
2017,FEMALE,Amelia,14,14,0,52
2017,FEMALE,Scarlett,17,17,0,46
2017,MALE,Aiden,17,17,0,59
2018,FEMALE,Mia,4,4,0,69
2018,FEMALE,Aria,23,23,0,37
2018,MALE,Liam,1,1,0,86
2018,MALE,James,12,12,0,60
2019,FEMALE,Sofia,8,8,0,67
2019,MALE,Liam,1,1,0,96
2019,MALE,Levi,26,26,0,48
2019,MALE,Anthony,37,37,0,42
2020,FEMALE,Camila,3,3,0,87
2020,FEMALE,Luna,13,13,0,44
2020,FEMALE,Abigail,14,14,0,43
2020,MALE,Liam,1,1,0,101
2020,MALE,David,16,16,0,55
2020,MALE,Joshua,45,45,0,36
2020,MALE,Jaxon,57,57,0,31
2021,FEMALE,Olivia,1,1,0,96
2021,FEMALE,Emma,2,2,0,90
2021,FEMALE,Camila,3,3,0,83
2021,FEMALE,Isabella,4,4,0,81
2021,FEMALE,Mia,5,5,0,71
2021,FEMALE,Sophia,6,6,0,63
2021,FEMALE,Avery,17,17,0,44
2021,MALE,Liam,1,1,0,99
2021,MALE,Noah,2,2,0,85
2021,MALE,Julian,15,15,0,59
2021,MALE,Elias,26,26,0,47
2021,MALE,Dylan,31,31,0,46
2022,FEMALE,Olivia,1,1,0,98
2022,MALE,Liam,1,1,0,121
2022,MALE,Noah,2,2,0,98
2022,MALE,Mateo,3,3,0,93
2022,MALE,Ethan,18,18,0,56
2022,MALE,Carlos,65,65,0,31
2023,FEMALE,Evelyn,11,11,0,52
2023,MALE,Liam,1,1,0,125
2023,MALE,Noah,2,2,0,88
2023,MALE,Mateo,3,3,0,85
2024,FEMALE,Olivia,1,1,0,86
2024,FEMALE,Mia,3,3,0,82
2024,FEMALE,Sofia,8,8,0,63
2024,MALE,Liam,1,1,0,144
2024,MALE,Mateo,3,3,0,98
2024,MALE,Emiliano,57,57,0,33
2024,MALE,Diego,68,68,0,31
2017,FEMALE,Ava,7,6,-1,73
2017,FEMALE,Aria,30,29,-1,35
2017,MALE,Noah,2,1,-1,85
2017,MALE,Josiah,37,36,-1,46
2017,MALE,Ezekiel,53,52,-1,38
2018,FEMALE,Emma,2,1,-1,82
2018,FEMALE,Sofia,9,8,-1,59
2018,MALE,Eli,66,65,-1,31
2019,FEMALE,Emily,14,13,-1,48
2019,FEMALE,Elizabeth,18,17,-1,44
2019,MALE,Noah,3,2,-1,86
2019,MALE,Mateo,4,3,-1,82
2019,MALE,Michael,23,22,-1,52
2019,MALE,Logan,37,36,-1,42
2019,MALE,Isaiah,47,46,-1,38
2020,FEMALE,Olivia,2,1,-1,93
2020,FEMALE,Isabella,5,4,-1,81
2020,FEMALE,Amelia,9,8,-1,60
2020,MALE,Noah,3,2,-1,90
2021,FEMALE,Ava,8,7,-1,59
2021,MALE,Mateo,5,4,-1,73
2021,MALE,Benjamin,11,10,-1,63
2021,MALE,Aiden,25,24,-1,48
2021,MALE,Joshua,54,53,-1,35
2022,FEMALE,Mia,6,5,-1,74
2023,FEMALE,Emma,2,1,-1,91
2023,FEMALE,Sophia,7,6,-1,66
2023,FEMALE,Amelia,9,8,-1,62
2023,FEMALE,Charlotte,10,9,-1,56
2023,FEMALE,Luna,13,12,-1,49
2023,FEMALE,Elena,18,17,-1,42
2023,MALE,Sebastian,6,5,-1,69
2023,MALE,Lucas,10,9,-1,63
2023,MALE,Benjamin,19,18,-1,55
2023,MALE,Alexander,21,20,-1,54
2023,MALE,David,22,21,-1,53
2023,MALE,Matthew,26,25,-1,50
2023,MALE,Logan,64,63,-1,31
2024,FEMALE,Luna,13,12,-1,50
2024,FEMALE,Aria,25,24,-1,38
2024,MALE,Sebastian,6,5,-1,84
2024,MALE,Julian,13,12,-1,66
2024,MALE,Jose,19,18,-1,60
2024,MALE,Luke,27,26,-1,52
2017,FEMALE,Mia,4,2,-2,81
2017,FEMALE,Sophia,6,4,-2,75
2017,FEMALE,Madison,22,20,-2,40
2017,FEMALE,Allison,26,24,-2,37
2017,MALE,Nathan,41,39,-2,44
2017,MALE,Andrew,44,42,-2,42
2018,MALE,Daniel,8,6,-2,63
2018,MALE,Julian,22,20,-2,53
2019,FEMALE,Amelia,11,9,-2,55
2019,MALE,Daniel,8,6,-2,71
2020,FEMALE,Ava,9,7,-2,60
2020,MALE,Sebastian,7,5,-2,68
2021,MALE,Sebastian,7,5,-2,70
2021,MALE,David,20,18,-2,51
2022,FEMALE,Emma,4,2,-2,80
2022,FEMALE,Camila,5,3,-2,79
2022,MALE,Sebastian,6,4,-2,74
2023,FEMALE,Ava,12,10,-2,50
2024,FEMALE,Camila,6,4,-2,66
2024,FEMALE,Evelyn,13,11,-2,50
2024,MALE,Noah,4,2,-2,94
2017,FEMALE,Avery,19,16,-3,43
2018,FEMALE,Layla,27,24,-3,34
2018,MALE,Noah,5,2,-3,73
2019,FEMALE,Aria,23,20,-3,39
2019,MALE,Ethan,12,9,-3,66
2020,FEMALE,Avery,22,19,-3,39
2020,FEMALE,Eliana,36,33,-3,30
2021,FEMALE,Charlotte,12,9,-3,52
2021,FEMALE,Luna,14,11,-3,50
2021,FEMALE,Emily,17,14,-3,44
2021,MALE,Samuel,24,21,-3,49
2021,MALE,Christopher,44,41,-3,38
2022,FEMALE,Sophia,9,6,-3,69
2022,FEMALE,Luna,12,9,-3,56
2022,FEMALE,Scarlett,20,17,-3,43
