year,sex,name_canon,n,name_display
2017,FEMALE,AVNI,2,Avni
2017,FEMALE,AVRA,1,Avra
2017,FEMALE,AYA,1,Aya
2017,FEMALE,AYAH,1,Ayah
2017,FEMALE,AYANA,1,Ayana
2017,FEMALE,AYANI,1,Ayani
2017,FEMALE,AYANNA,1,Ayanna
2017,FEMALE,AYDEN,1,Ayden
2017,FEMALE,AYELET,2,Ayelet
2017,FEMALE,AYLA,5,Ayla
2017,FEMALE,AYLEEN,5,Ayleen
2017,FEMALE,AYLEN,2,Aylen
2017,FEMALE,AYLIN,13,Aylin
2017,FEMALE,AYRA,1,Ayra
2017,FEMALE,AYRIN,1,Ayrin
2017,FEMALE,AYSHA,1,Aysha
2017,FEMALE,AYVA,2,Ayva
2017,FEMALE,AYVAH,1,Ayvah
2017,FEMALE,AZALAYA,1,Azalaya
2017,FEMALE,AZALEA,6,Azalea
2017,FEMALE,AZANIAH,1,Azaniah
2017,FEMALE,AZARIAH,3,Azariah
2017,FEMALE,AZBAH,1,Azbah
2017,FEMALE,AZENETH,1,Azeneth
2017,FEMALE,AZMA,1,Azma
2017,FEMALE,AZRAH,1,Azrah
2017,FEMALE,AZRAHNAE,1,Azrahnae
2017,FEMALE,AZUL,1,Azul
2017,FEMALE,AZURA,1,Azura
2017,FEMALE,BABETTE,1,Babette
2017,FEMALE,BAILEE,1,Bailee
2017,FEMALE,BAILEY,13,Bailey
2017,FEMALE,BAIN,1,Bain
2017,FEMALE,BAKER,1,Baker
2017,FEMALE,BARBARA,4,Barbara
2017,FEMALE,BASMA,1,Basma
2017,FEMALE,BAYLEE,3,Baylee
2017,FEMALE,BAYLEY,2,Bayley
2017,FEMALE,BAYLI,1,Bayli
2017,FEMALE,BEA,1,Bea
2017,FEMALE,BEATRICE,4,Beatrice
2017,FEMALE,BEATRIZ,3,Beatriz
2017,FEMALE,BEAUTI,1,Beauti
2017,FEMALE,BEBEE,1,Bebee
2017,FEMALE,BECKETT,1,Beckett
2017,FEMALE,BEIJA,1,Beija
2017,FEMALE,BELEN,5,Belen
2017,FEMALE,BELICIA,1,Belicia
2017,FEMALE,BELINDA,2,Belinda
2017,FEMALE,BELKY,1,Belky
2017,FEMALE,BELLA,23,Bella
2017,FEMALE,BELLAMY,2,Bellamy
2017,FEMALE,BELLE,2,Belle
2017,FEMALE,BENITA,1,Benita
2017,FEMALE,BENNETT,2,Bennett
2017,FEMALE,BENTLEY,2,Bentley
2017,FEMALE,BENTLEY-ROSE,1,Bentley-Rose
2017,FEMALE,BERKELEY,1,Berkeley
2017,FEMALE,BERKLEY,1,Berkley
2017,FEMALE,BERLIN,1,Berlin
2017,FEMALE,BERLYNN,1,Berlynn
2017,FEMALE,BERNADETTE,1,Bernadette
2017,FEMALE,BERNICE,1,Bernice
2017,FEMALE,BETHANEE,1,Bethanee
2017,FEMALE,BETHANY,4,Bethany
2017,FEMALE,BETHEL,1,Bethel
2017,FEMALE,BETSELOT,1,Betselot
2017,FEMALE,BETTY,1,Betty
2017,FEMALE,BETZAIDA,1,Betzaida
2017,FEMALE,BEVERLY,2,Beverly
2017,FEMALE,BEXLEY,1,Bexley
2017,FEMALE,BHAKTI,1,Bhakti
2017,FEMALE,BHUVI,1,Bhuvi
2017,FEMALE,BIANCA,2,Bianca
2017,FEMALE,BIBIANNA,1,Bibianna
2017,FEMALE,BILGE,1,Bilge
2017,FEMALE,BILLIE,2,Billie
